7145D,8363,CIEZA,MURCIA,381358N,012250W,265,1997-02-19,2022-02-01,
7209,8426,LORCA,MURCIA,373917N,014114W,312,1955-01-01,2022-02-02,
7178I,8430,MURCIA,MURCIA,380007N,011015W,61,1984-04-01,2022-02-02,
7031,8433,SAN JAVIER AEROPUERTO,MURCIA,374720N,004812W,4,1944-08-01,2022-01-31,
7031X,8433,SAN JAVIER AEROPUERTO,MURCIA,374642N,004821W,4,2011-01-01,2022-02-02,
7275C,8356,YECLA,MURCIA,383606N,010935W,640,2009-01-16,2022-02-02,
9263X,8089,ARANGUREN, ILUNDAIN  ,NAVARRA,424634N,013157W,572,2010-03-19,2022-02-02
9294E,8087,BARDENAS REALES, BASE AEREA,NAVARRA,421155N,012831W,295,1993-07-24,2022-02-02
1002Y,8030,BAZTAN, IRURITA ,NAVARRA,430809N,013235W,183,2009-03-16,2022-02-02
9283X,8153,CADREITA,NAVARRA,421225N,014241W,268,1991-09-01,2017-02-12,
9263D,8085,PAMPLONA, AEROPUERTO,NAVARRA,424637N,013900W,459,1975-01-01,2022-02-02
9262,,PAMPLONA,NAVARRA,424904N,013818W,450,1953-09-01,2022-01-31,
1631E,8051,A POBRA DE TRIVES,OURENSE,422022N,071657W,840,1994-01-01,2022-02-02,
1700X,8047,O CARBALLINO,OURENSE,422517N,080533W,400,1994-01-01,2022-02-02,
1690B,,OURENSE,INSTITUTO,OURENSE,421956N,075152W,148,1952-01-01,1969-05-30
1690A,8048,OURENSE,OURENSE,421931N,075135W,143,1972-08-01,2022-02-02,
1735X,8050,XINZO DE LIMIA,OURENSE,420445N,074401W,616,2001-02-22,2022-02-02,
2400E,8072,AUTILLA DEL PINO,PALENCIA,415944N,043610W,874,1988-12-03,2022-02-02,
2374X,8068,CARRION DE LOS CONDES,PALENCIA,422103N,043702W,830,1988-12-03,2022-02-02,
2235U,8058,CERVERA DE PISUERGA,PALENCIA,425214N,043112W,1140,1986-06-01,2022-02-02,
2401,,PALENCIA, OBSERVATORIO,PALENCIA,420018N,043145W,750,1951-01-01,1990-07-31
1484,,PONTEVEDRA, INSTITUTO,PONTEVEDRA,422550N,083850W,19,1945-04-01,1985-09-30
1484C,8044,PONTEVEDRA,PONTEVEDRA,422618N,083657W,108,1985-10-01,2022-02-02,
1495,8045,VIGO AEROPUERTO,PONTEVEDRA,421419N,083726W,261,1956-05-01,2022-02-02,
2491C,8205,LA COVATILLA, ESTACION DE ESQUI,SALAMANCA,402118N,054124W,1960,2001-12-17,2022-02-02
2946X,8195,SAELICES EL CHICO,SALAMANCA,403806N,063600W,680,1988-12-29,2022-02-02,
2867,8202,SALAMANCA AEROPUERTO,SALAMANCA,405734N,052954W,790,1945-01-01,2022-02-02,
2870,8201,SALAMANCA,SALAMANCA,405727N,053944W,775,1970-01-01,2022-02-02,
2916A,8129,VITIGUDINO,SALAMANCA,410041N,062616W,769,1991-10-23,2022-02-02,
2150H,8143,LA PINILLA, ESTACION DE ESQUI,SEGOVIA,411131N,032831W,1798,1977-01-01,2022-02-02
2465A,,SEGOVIA, INSTITUTO,SEGOVIA,405648N,040657W,990,1931-01-01,1986-09-30
2465,8213,SEGOVIA,SEGOVIA,405643N,040735W,1005,1988-10-01,2022-02-02,
5704B,8392,CAZALLA DE LA SIERRA,SEVILLA,375535N,054611W,550,1997-01-29,2022-02-02,
5641X,8395,ECIJA,SEVILLA,373058N,050506W,130,2001-01-01,2022-02-02,
5612B,8399,LA RODA DE ANDALUCIA,SEVILLA,371140N,044612W,410,2009-02-13,2022-02-02,
5796,8397,MORON DE LA FRONTERA,SEVILLA,370952N,053641W,87,1946-02-01,2022-02-02,
5783,8391,SEVILLA AEROPUERTO,SEVILLA,372500N,055245W,34,1951-01-01,2022-02-02,
2030,8148,SORIA,SORIA,414630N,022859W,1082,1943-11-01,2022-02-02,
C439J,60018,GUIMAR,STA. CRUZ DE TENERIFE,281906N,162256W,115,2014-01-01,2022-02-02,
C929I,60001,HIERRO AEROPUERTO,STA. CRUZ DE TENERIFE,274908N,175320W,32,1973-12-01,2022-02-02,
C430E,60010,IZANA,STA. CRUZ DE TENERIFE,281832N,162958W,2371,1920-01-01,2022-02-02,
C139E,60005,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,283759N,174518W,33,1970-04-01,2022-02-02,
C459Z,60012,PUERTO DE LA CRUZ,STA. CRUZ DE TENERIFE,282505N,163253W,25,1996-06-12,2022-02-02,
C329Z,60008,SAN SEBASTIAN DE LA GOMERA,STA. CRUZ DE TENERIFE,280523N,170641W,15,1995-01-01,2022-02-02,
C449C,60020,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,282748N,161519W,35,1931-01-01,2022-02-02,
C129Z,60004,TAZACORTE,STA. CRUZ DE TENERIFE,283545N,175455W,62,2000-01-22,2022-02-02,
C447A,60015,TENERIFE NORTE AEROPUERTO,STA. CRUZ DE TENERIFE,282839N,161946W,632,1941-08-01,2022-02-02,
